00LU               20181210                                                                                   
0601LUA0N       20190101002455100000005000 0000053670002184   
0601LUA0N       20190101002460100000005000 0000053810002185   
0601LUA0N       20190101002465100000005000 0000053950002186   
0601LUA0N       20190101002470100000005000 0000054120002189   
0601LUA0N       20190101002475100000005000 0000054260002190   
0601LUA0N       20190101002480100000005000 0000054400002191   
0601LUA0N       20190101002485100000005000 0000054570002194   
0601LUA0N       20190101002490100000005000 0000054710002195   
0601LUA0N       20190101002495100000005000 0000054850002196   
0601LUA0N       20190101002500100000005000 0000055020002199   
0601LUA0N       20190101002505100000005000 0000055160002200   
0601LUA0N       20190101002510100000005000 0000055300002201   
0601LUA0N       20190101002515100000005000 0000055470002203   
0601LUA0N       20190101002520100000005000 0000055610002205   
0601LUA0N       20190101002525100000005000 0000055750002206   
0601LUA0N       20190101002530100000005000 0000055910002208   
0601LUA0N       20190101002535100000005000 0000056060002209   
0601LUA0N       20190101002540100000005000 0000056200002210   
0601LUA0N       20190101002545100000005000 0000056360002212   
0601LUA0N       20190101002550100000005000 0000056500002214   
0601LUA0N       20190101002555100000005000 0000056640002215   
0601LUA0N       20190101002560100000005000 0000056810002217   
0601LUA0N       20190101002565100000005000 0000056950002218   
0601LUA0N       20190101002570100000005000 0000057090002219   
0601LUA0N       20190101002575100000005000 0000057260002222   
0601LUA0N       20190101002580100000005000 0000057400002223   
0601LUA0N       20190101002585100000005000 0000057540002224   
0601LUA0N       20190101002590100000005000 0000057710002226   
0601LUA0N       20190101002595100000005000 0000057850002227   
0601LUA0N       20190101002600100000005000 0000057990002228   
0601LUA0N       20190101002605100000005000 0000058160002230   
0601LUA0N       20190101002610100000005000 0000058300002232   
0601LUA0N       20190101002615100000005000 0000058440002233   
0601LUA0N       20190101002620100000005000 0000058610002235   
0601LUA0N       20190101002625100000005000 0000058750002236   
0601LUA0N       20190101002630100000005000 0000058890002237   
0601LUA0N       20190101002635100000005000 0000059060002239   
0601LUA0N       20190101002640100000005000 0000059200002240   
0601LUA0N       20190101002645100000005000 0000059340002241   
0601LUA0N       20190101002650100000005000 0000059510002244   
0601LUA0N       20190101002655100000005000 0000059650002245   
0601LUA0N       20190101002660100000005000 0000059790002246   
0601LUA0N       20190101002665100000005000 0000059960002248   
0601LUA0N       20190101002670100000005000 0000060100002249   
0601LUA0N       20190101002675100000005000 0000060240002250   
0601LUA0N       20190101002680100000005000 0000060410002252   
0601LUA0N       20190101002685100000005000 0000060550002253   
0601LUA0N       20190101002690100000005000 0000060690002254   
0601LUA0N       20190101002695100000005000 0000060860002256   
0601LUA0N       20190101002700100000005000 0000061000002257   
0601LUA0N       20190101002705100000005000 0000061140002258   
0601LUA0N       20190101002710100000005000 0000061310002260   
0601LUA0N       20190101002715100000005000 0000061450002261   
0601LUA0N       20190101002720100000005000 0000061590002262   
0601LUA0N       20190101002725100000005000 0000061760002264   
0601LUA0N       20190101002730100000005000 0000061900002265   
0601LUA0N       20190101002735100000005000 0000062040002266   
0601LUA0N       20190101002740100000005000 0000062210002268   
0601LUA0N       20190101002745100000005000 0000062350002269   
0601LUA0N       20190101002750100000005000 0000062490002270   
